,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20190821,open a position,option(delta<-0.25),0.7595474700479978,10001896.SH,2.9,0.3797737350239989,0.0198,0.1788558065891266,-0.385326013837314,5.288299565816321,0.15455834486349057,-0.69781830756894
20190821,open a position,option(delta>-0.25),1.2404525299520022,10001895.SH,2.85,0.6202262649760011,0.0067,0.18420913815498352,-0.16713787592840057,3.361429613416486,0.10118323442956613,-0.4760506258029119
20190821,open a position,option(delta<-0.5),-0.43411033949133443,10001897.SH,2.95,0.43411033949133443,0.0473,0.1852850615978241,-0.6494846291263541,4.947947450579725,0.1498093260779913,-0.6848129463597538
20190821,open a position,option(delta>-0.5),-0.5658896605086656,10001896.SH,2.9,0.5658896605086656,0.0198,0.1788558065891266,-0.385326013837314,5.288299565816321,0.15455834486349057,-0.69781830756894
20190822,close a position,option(delta<-0.25),-0.7595474700479978,10001896.SH,2.9,0.3797737350239989,0.0164,0.1792137324810028,-0.3558393490491767,5.547753511067372,0.1396382696554065,-0.740049619866934
20190822,close a position,option(delta>-0.25),-1.2404525299520022,10001895.SH,2.85,0.6202262649760011,0.0051,0.18760105967521667,-0.1406962141358694,3.1765040014355477,0.0836952306568019,-0.4692545323042277
20190822,close a position,option(delta<-0.5),0.43411033949133443,10001897.SH,2.95,0.43411033949133443,0.043,0.18703195452690125,-0.6397291742002608,5.338840855631062,0.14024222850782062,-0.7595638498261281
20190822,close a position,option(delta>-0.5),0.5658896605086656,10001896.SH,2.9,0.5658896605086656,0.0164,0.1792137324810028,-0.3558393490491767,5.547753511067372,0.1396382696554065,-0.740049619866934
20190822,open a position,option(delta<-0.25),1.0161029391727971,10001896.SH,2.9,0.5080514695863986,0.0164,0.1792137324810028,-0.3558393490491767,5.547753511067372,0.1396382696554065,-0.740049619866934
20190822,open a position,option(delta>-0.25),0.9838970608272029,10001895.SH,2.85,0.4919485304136014,0.0051,0.18760105967521667,-0.1406962141358694,3.1765040014355477,0.0836952306568019,-0.4692545323042277
20190822,open a position,option(delta<-0.5),-0.5078049235265902,10001897.SH,2.95,0.5078049235265902,0.043,0.18703195452690125,-0.6397291742002608,5.338840855631062,0.14024222850782062,-0.7595638498261281
20190822,open a position,option(delta>-0.5),-0.49219507647340976,10001896.SH,2.9,0.49219507647340976,0.0164,0.1792137324810028,-0.3558393490491767,5.547753511067372,0.1396382696554065,-0.740049619866934
20190823,close a position,option(delta<-0.25),-1.0161029391727971,10001896.SH,2.9,0.5080514695863986,0.0048,0.179653137922287,-0.14786259787845335,3.7066555735256386,0.08008616228861466,-0.5162938205835773
20190823,close a position,option(delta>-0.25),-0.9838970608272029,10001895.SH,2.85,0.4919485304136014,0.0016,0.20769289135932922,-0.05229549249700227,1.4839852267106908,0.03706735972012469,-0.27786885882205586
20190823,close a position,option(delta<-0.5),0.5078049235265902,10001897.SH,2.95,0.5078049235265902,0.0177,0.17369231581687927,-0.4051896778119697,6.4351423492477755,0.1344247404606734,-0.8278563330396348
20190823,close a position,option(delta>-0.5),0.49219507647340976,10001896.SH,2.9,0.49219507647340976,0.0048,0.179653137922287,-0.14786259787845335,3.7066555735256386,0.08008616228861466,-0.5162938205835773
20190823,open a position,option(delta<-0.25),0.793833296891529,10001897.SH,2.95,0.3969166484457645,0.0177,0.17369231581687927,-0.4051896778119697,6.4351423492477755,0.1344247404606734,-0.8278563330396348
20190823,open a position,option(delta>-0.25),1.206166703108471,10001896.SH,2.9,0.6030833515542355,0.0048,0.179653137922287,-0.14786259787845335,3.7066555735256386,0.08008616228861466,-0.5162938205835773
20190823,open a position,option(delta<-0.5),-0.32331972987756447,10001898.SH,3.0,0.32331972987756447,0.049,0.1951597034931183,-0.6984298157519999,5.149415781216727,0.12086165923141744,-0.8185684328321329
20190823,open a position,option(delta>-0.5),-0.6766802701224355,10001897.SH,2.95,0.6766802701224355,0.0177,0.17369231581687927,-0.4051896778119697,6.4351423492477755,0.1344247404606734,-0.8278563330396348
20190826,close a position,option(delta<-0.25),-0.793833296891529,10001897.SH,2.95,0.3969166484457645,0.0425,0.22802850604057312,-0.7619191679634647,6.29259647006317,0.06676290881207438,-1.34392133081788
20190826,close a position,option(delta>-0.25),-1.206166703108471,10001896.SH,2.9,0.6030833515542355,0.0122,0.21531978249549866,-0.3756213869127132,8.168587414763289,0.08183651363300207,-1.585782889404178
20190826,close a position,option(delta<-0.5),0.32331972987756447,10001898.SH,3.0,0.32331972987756447,0.0884,0.29372021555900574,-0.9068892316375704,2.6284842970490243,0.03592158168990622,-0.9081476385259221
20190826,close a position,option(delta>-0.5),0.6766802701224355,10001897.SH,2.95,0.6766802701224355,0.0425,0.22802850604057312,-0.7619191679634647,6.29259647006317,0.06676290881207438,-1.34392133081788
20190903,open a position,option(delta<-0.25),0.15260772875398898,10001748.SH,2.9,0.07630386437699449,0.0369,0.19451597332954407,-0.37113352856279,2.692818696091402,0.2727039151806796,-0.4174813765652276
20190903,open a position,option(delta>-0.25),1.8473922712460111,10001747.SH,2.85,0.9236961356230056,0.0199,0.19059494137763977,-0.23999350979342593,2.2604817559465804,0.2243062446865347,-0.34013943104387323
20190903,open a position,option(delta<-0.5),-0.9185627093321292,10001749.SH,2.95,0.9185627093321292,0.0602,0.19569852948188782,-0.511424953555327,2.824098688462874,0.28773746951897566,-0.43584982466287603
20190903,open a position,option(delta>-0.5),-0.08143729066787075,10001748.SH,2.9,0.08143729066787075,0.0369,0.19451597332954407,-0.37113352856279,2.692818696091402,0.2727039151806796,-0.4174813765652276
